FileName,Common Name
Blaumeise_(0_03)_RussianFederation_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_09)_Poland_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_09)_Sweden_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_11)_Finland_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_12)_UnitedKingdom_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_13)_Italy_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_13)_Sweden_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_14)_France_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_15)_Netherlands_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_17)_Netherlands_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_21)_RussianFederation_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_24)_Netherlands_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_25)_UnitedKingdom_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_26)_Spain_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_27)_Poland_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_27)_Sweden_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_28)_Germany_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_29)_France_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_30)_Estonia_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_30)_Poland_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_31)_France_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_31)_UnitedKingdom_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_36)_Germany_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_36)_Ireland_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_37)_RussianFederation_alarmcall_B_result,Eurasian Blue Tit
Blaumeise_(0_40)_Sweden_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_42)_Germany_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_43)_Sweden_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_46)_Germany_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_47)_Spain_alarmcall_A_result,Eurasian Blue Tit
Blaumeise_(0_48)_UnitedKingdom_alarmcall_B_result,Eurasian Blue Tit
Blaumeise_0_30__France_alarmcall_A_quarter1_result,Eurasian Blue Tit
Blaumeise_0_30__France_alarmcall_A_quarter2_result,Eurasian Blue Tit
Blaumeise_0_30__France_alarmcall_A_quarter3_result,Eurasian Blue Tit
Blaumeise_0_30__France_alarmcall_A_quarter4_result,Eurasian Blue Tit
Blaumeise_0_30__Italy_alarmcall_A_third1_result,Eurasian Blue Tit
Blaumeise_0_30__Italy_alarmcall_A_third2_result,Eurasian Blue Tit
Blaumeise_0_30__Sweden_alarmcall_A_third1_result,Eurasian Blue Tit
Blaumeise_0_30__Sweden_alarmcall_A_third2_result,Eurasian Blue Tit
Blaumeise_0_30__Sweden_alarmcall_A_third3_result,Eurasian Blue Tit
Blaumeise_0_31__Germany_alarmcall_A_third1_result,Eurasian Blue Tit
Blaumeise_0_31__Germany_alarmcall_A_third2_result,Eurasian Blue Tit
Blaumeise_0_31__Germany_alarmcall_A_third3_result,Eurasian Blue Tit
Blaumeise_0_31__Poland_alarmcall_A_quarter3_result,Eurasian Blue Tit
Blaumeise_0_32__Italy_alarmcall_A_half1_result,Eurasian Blue Tit
Blaumeise_0_32__Italy_alarmcall_A_half2_result,Eurasian Blue Tit
Blaumeise_0_34__Poland_alarmcall_A_third1_result,Eurasian Blue Tit
Blaumeise_0_34__Poland_alarmcall_A_third2_result,Eurasian Blue Tit
Blaumeise_0_34__Poland_alarmcall_A_third3_result,Eurasian Blue Tit
Blaumeise_(0_08)_France_beggingcall_C_result,Eurasian Blue Tit
Blaumeise_(0_10)_Portugal_beggingcall_C_result,Eurasian Blue Tit
Blaumeise_(0_14)_Netherlands_beggingcall_A_result,Eurasian Blue Tit
Blaumeise_(0_15)_France_beggingcall_C_result,Eurasian Blue Tit
Blaumeise_(0_16)_Belgium_beggingcall_B_result,Eurasian Blue Tit
Blaumeise_(0_18)_Italy_beggingcall_A_result,Eurasian Blue Tit
Blaumeise_(0_19)_Netherlands_beggingcall_B_result,Eurasian Blue Tit
Blaumeise_(0_20)_France_beggingcall_C_result,Eurasian Blue Tit
Blaumeise_(0_21)_Sweden_beggingcall_B_result,Eurasian Blue Tit
Blaumeise_(0_22)_France_beggingcall_A_result,Eurasian Blue Tit
Blaumeise_(0_27)_UnitedKingdom_beggingcall_B_result,Eurasian Blue Tit
Blaumeise_(0_28)_UnitedKingdom_beggingcall_B_result,Eurasian Blue Tit
Blaumeise_(0_29)_France_beggingcall_B_result,Eurasian Blue Tit
Blaumeise_(0_31)_Portugal_beggingcall_B_result,Eurasian Blue Tit
Blaumeise_(0_32)_Italy_beggingcall_A_result,Eurasian Blue Tit
Blaumeise_(0_33)_Portugal_beggingcall_B_result,Eurasian Blue Tit
Blaumeise_(0_35)_Germany_beggingcall_C_result,Eurasian Blue Tit
Blaumeise_(0_35)_UnitedKingdom_beggingcall_B_result,Eurasian Blue Tit
Blaumeise_(0_38)_Germany_beggingcall_B_result,Eurasian Blue Tit
Blaumeise_(0_38)_Ireland_beggingcall_A_result,Eurasian Blue Tit
Blaumeise_(0_41)_Spain_beggingcall_C_result,Eurasian Blue Tit
Blaumeise_(0_43)_Germany_beggingcall_C_result,Eurasian Blue Tit
Blaumeise_(0_45)_Sweden_beggingcall_A_result,Eurasian Blue Tit
Blaumeise_(0_48)_Spain_beggingcall_B_result,Eurasian Blue Tit
Blaumeise_(0_48)_UnitedKingdom_beggingcall_A_result,Eurasian Blue Tit
Blaumeise_0_25__UnitedKingdom_beggingcall_B_half1_result,Eurasian Blue Tit
Blaumeise_0_25__UnitedKingdom_beggingcall_B_half2_result,Eurasian Blue Tit
Blaumeise_0_27__France_beggingcall_A_third1_result,Eurasian Blue Tit
Blaumeise_0_27__France_beggingcall_A_third2_result,Eurasian Blue Tit
Blaumeise_0_29__Spain_beggingcall_B_half1_result,Eurasian Blue Tit
Blaumeise_0_29__Spain_beggingcall_B_half2_result,Eurasian Blue Tit
Blaumeise_0_31__France_beggingcall_B_half1_result,Eurasian Blue Tit
Blaumeise_0_31__France_beggingcall_B_half2_result,Eurasian Blue Tit
Blaumeise_0_34__Austria_beggingcall_C_quarter1_result,Eurasian Blue Tit
Blaumeise_0_34__Austria_beggingcall_C_quarter2_result,Eurasian Blue Tit
Blaumeise_0_34__Austria_beggingcall_C_quarter3_result,Eurasian Blue Tit
Blaumeise_0_34__Austria_beggingcall_C_quarter4_result,Eurasian Blue Tit
Blaumeise_0_34__France_beggingcall_A_half1_result,Eurasian Blue Tit
Blaumeise_0_38__RussianFederation_beggingcall_A_half1_result,Eurasian Blue Tit
Blaumeise_0_38__RussianFederation_beggingcall_A_half2_result,Eurasian Blue Tit
Blaumeise_0_39__Spain_beggingcall_B_third1_result,Eurasian Blue Tit
Blaumeise_0_39__Spain_beggingcall_B_third2_result,Eurasian Blue Tit
Blaumeise_0_39__Spain_beggingcall_B_third3_result,Eurasian Blue Tit
Blaumeise_0_59__RussianFederation_beggingcall_A_quarter1_result,Eurasian Blue Tit
Blaumeise_0_59__RussianFederation_beggingcall_A_quarter2_result,Eurasian Blue Tit
Blaumeise_0_59__RussianFederation_beggingcall_A_quarter3_result,Eurasian Blue Tit
Blaumeise_0_59__RussianFederation_beggingcall_A_quarter4_result,Eurasian Blue Tit
Blaumeise_(0_09)_Portugal_call_A_result,Eurasian Blue Tit
Blaumeise_(0_10)_Netherlands_call_A_result,Eurasian Blue Tit
Blaumeise_(0_12)_Sweden_call_A_result,Eurasian Blue Tit
Blaumeise_(0_15)_Netherlands_call_A_result,Eurasian Blue Tit
Blaumeise_(0_16)_France_call_A_result,Eurasian Blue Tit
Blaumeise_(0_18)_Belgium_call_A_result,Eurasian Blue Tit
Blaumeise_(0_19)_Estonia_call_A_result,Eurasian Blue Tit
Blaumeise_(0_22)_Estonia_call_A_result,Eurasian Blue Tit
Blaumeise_(0_23)_Sweden_call_A_result,Eurasian Blue Tit
Blaumeise_(0_25)_UnitedKingdom_call_A_result,Eurasian Blue Tit
Blaumeise_(0_26)_UnitedKingdom_call_A_result,Eurasian Blue Tit
Blaumeise_(0_27)_France_call_A_result,Eurasian Blue Tit
Blaumeise_(0_28)_Italy_call_A_result,Eurasian Blue Tit
Blaumeise_(0_28)_Spain_call_A_result,Eurasian Blue Tit
Blaumeise_(0_31)_Ireland_call_A_result,Eurasian Blue Tit
Blaumeise_(0_32)_Sweden_call_A_result,Eurasian Blue Tit
Blaumeise_(0_33)_Spain_call_A_result,Eurasian Blue Tit
Blaumeise_(0_35)_Sweden_call_A_result,Eurasian Blue Tit
Blaumeise_(0_39)_Italy_call_A_result,Eurasian Blue Tit
Blaumeise_(0_40)_Sweden_call_A_result,Eurasian Blue Tit
Blaumeise_(0_41)_Finland_call_A_result,Eurasian Blue Tit
Blaumeise_(0_41)_France_call_A_result,Eurasian Blue Tit
Blaumeise_(0_44)_Germany_call_A_result,Eurasian Blue Tit
Blaumeise_(0_46)_Ireland_call_A_result,Eurasian Blue Tit
Blaumeise_0_25__Italy_call_A_half1_result,Eurasian Blue Tit
Blaumeise_0_25__Italy_call_A_half2_result,Eurasian Blue Tit
Blaumeise_0_27__Netherlands_call_A_half1_result,Eurasian Blue Tit
Blaumeise_0_27__Netherlands_call_A_half2_result,Eurasian Blue Tit
Blaumeise_0_28__Poland_call_A_third1_result,Eurasian Blue Tit
Blaumeise_0_28__Poland_call_A_third2_result,Eurasian Blue Tit
Blaumeise_0_28__Poland_call_A_third3_result,Eurasian Blue Tit
Blaumeise_0_28__Sweden_call_A_half1_result,Eurasian Blue Tit
Blaumeise_0_28__Sweden_call_A_half2_result,Eurasian Blue Tit
Blaumeise_0_29__Estonia_call_A_half1_result,Eurasian Blue Tit
Blaumeise_0_29__Estonia_call_A_half2_result,Eurasian Blue Tit
Blaumeise_0_29__France_call_A_half1_result,Eurasian Blue Tit
Blaumeise_0_29__France_call_A_half2_result,Eurasian Blue Tit
Blaumeise_0_30__France_call_A_half1_result,Eurasian Blue Tit
Blaumeise_0_30__France_call_A_half2_result,Eurasian Blue Tit
Blaumeise_0_31__Belgium_call_A_third1_result,Eurasian Blue Tit
Blaumeise_0_31__Belgium_call_A_third2_result,Eurasian Blue Tit
Blaumeise_0_31__Belgium_call_A_third3_result,Eurasian Blue Tit
Blaumeise_0_32__Croatia_call_A_third1_result,Eurasian Blue Tit
Blaumeise_0_32__Croatia_call_A_third2_result,Eurasian Blue Tit
Blaumeise_0_32__Croatia_call_A_third3_result,Eurasian Blue Tit
Blaumeise_0_32__France_call_A_half1_result,Eurasian Blue Tit
Blaumeise_0_32__France_call_A_half2_result,Eurasian Blue Tit
Blaumeise_0_33__Italy_call_A_third1_result,Eurasian Blue Tit
Blaumeise_0_33__Italy_call_A_third2_result,Eurasian Blue Tit
Blaumeise_0_33__Italy_call_A_third3_result,Eurasian Blue Tit
Blaumeise_0_34__Portugal_call_A_quarter1_result,Eurasian Blue Tit
Blaumeise_0_34__Portugal_call_A_quarter2_result,Eurasian Blue Tit
Blaumeise_0_34__Portugal_call_A_quarter3_result,Eurasian Blue Tit
Blaumeise_0_34__Portugal_call_A_quarter4_result,Eurasian Blue Tit
Blaumeise_0_36__Croatia_call_A_third1_result,Eurasian Blue Tit
Blaumeise_0_36__Croatia_call_A_third3_result,Eurasian Blue Tit
Blaumeise_0_37__France_call_A_half2_result,Eurasian Blue Tit
Blaumeise_0_39__France_call_A_half1_result,Eurasian Blue Tit
Blaumeise_0_39__France_call_A_half2_result,Eurasian Blue Tit
Blaumeise_0_49__France_call_A_quarter1_result,Eurasian Blue Tit
Blaumeise_0_49__France_call_A_quarter3_result,Eurasian Blue Tit
Blaumeise_0_49__France_call_A_quarter4_result,Eurasian Blue Tit
Blaumeise_(0_09)_Italy_song_A_result,Eurasian Blue Tit
Blaumeise_(0_13)_Ireland_song_A_result,Eurasian Blue Tit
Blaumeise_(0_16)_France_song_A_result,Eurasian Blue Tit
Blaumeise_(0_18)_France_song_A_result,Eurasian Blue Tit
Blaumeise_(0_19)_Italy_song_A_result,Eurasian Blue Tit
Blaumeise_(0_21)_Poland_song_A_result,Eurasian Blue Tit
Blaumeise_(0_23)_UnitedKingdom_song_A_result,Eurasian Blue Tit
Blaumeise_(0_24)_Poland_song_A_result,Eurasian Blue Tit
Blaumeise_(0_25)_Netherlands_song_A_result,Eurasian Blue Tit
Blaumeise_(0_27)_Ireland_song_A_result,Eurasian Blue Tit
Blaumeise_(0_28)_Spain_song_A_result,Eurasian Blue Tit
Blaumeise_(0_30)_Spain_song_A_result,Eurasian Blue Tit
Blaumeise_(0_34)_Ireland_song_A_result,Eurasian Blue Tit
Blaumeise_(0_35)_France_song_A_result,Eurasian Blue Tit
Blaumeise_(0_36)_Poland_song_A_result,Eurasian Blue Tit
Blaumeise_(0_39)_Germany_song_A_result,Eurasian Blue Tit
Blaumeise_(0_39)_Portugal_song_A_result,Eurasian Blue Tit
Blaumeise_(0_40)_Poland_song_A_result,Eurasian Blue Tit
Blaumeise_(0_45)_France_song_A_result,Eurasian Blue Tit
Blaumeise_0_26__Spain_song_A_half1_result,Eurasian Blue Tit
Blaumeise_0_26__Spain_song_A_half2_result,Eurasian Blue Tit
Blaumeise_0_27__Norway_song_A_third1_result,Eurasian Blue Tit
Blaumeise_0_27__Norway_song_A_third2_result,Eurasian Blue Tit
Blaumeise_0_27__Norway_song_A_third3_result,Eurasian Blue Tit
Blaumeise_0_27__Poland_song_A_third1_result,Eurasian Blue Tit
Blaumeise_0_27__Poland_song_A_third2_result,Eurasian Blue Tit
Blaumeise_0_27__Poland_song_A_third3_result,Eurasian Blue Tit
Blaumeise_0_27__Spain_song_A_third1_result,Eurasian Blue Tit
Blaumeise_0_27__Spain_song_A_third2_result,Eurasian Blue Tit
Blaumeise_0_27__Spain_song_A_third3_result,Eurasian Blue Tit
Blaumeise_0_28__Norway_song_A_third1_result,Eurasian Blue Tit
Blaumeise_0_28__Norway_song_A_third2_result,Eurasian Blue Tit
Blaumeise_0_28__Norway_song_A_third3_result,Eurasian Blue Tit
Blaumeise_0_29__Norway_song_A_half1_result,Eurasian Blue Tit
Blaumeise_0_29__Norway_song_A_half2_result,Eurasian Blue Tit
Blaumeise_0_29__Norway_song_A_third1_result,Eurasian Blue Tit
Blaumeise_0_29__Norway_song_A_third2_result,Eurasian Blue Tit
Blaumeise_0_29__Norway_song_A_third3_result,Eurasian Blue Tit
Blaumeise_0_29__Spain_song_A_half1_result,Eurasian Blue Tit
Blaumeise_0_29__Spain_song_A_half2_result,Eurasian Blue Tit
Blaumeise_0_30__Spain_song_A_half1_result,Eurasian Blue Tit
Blaumeise_0_30__Spain_song_A_half2_result,Eurasian Blue Tit
Blaumeise_0_30__UnitedKingdom_song_A_half1_result,Eurasian Blue Tit
Blaumeise_0_30__UnitedKingdom_song_A_half2_result,Eurasian Blue Tit
Blaumeise_0_31__Italy_song_A_quarter1_result,Eurasian Blue Tit
Blaumeise_0_31__Italy_song_A_quarter2_result,Eurasian Blue Tit
Blaumeise_0_31__Italy_song_A_quarter3_result,Eurasian Blue Tit
Blaumeise_0_31__Italy_song_A_quarter4_result,Eurasian Blue Tit
Blaumeise_0_31__Spain_song_A_half1_result,Eurasian Blue Tit
Blaumeise_0_32__Spain_song_A_third1_result,Eurasian Blue Tit
Blaumeise_0_32__Spain_song_A_third2_result,Eurasian Blue Tit
Blaumeise_0_32__Spain_song_A_third3_result,Eurasian Blue Tit
Blaumeise_0_32__UnitedKingdom_song_A_third1_result,Eurasian Blue Tit
Blaumeise_0_32__UnitedKingdom_song_A_third2_result,Eurasian Blue Tit
Blaumeise_0_33__France_song_A_half1_result,Eurasian Blue Tit
Blaumeise_0_33__France_song_A_half2_result,Eurasian Blue Tit
Blaumeise_0_34__Belgium_song_A_third1_result,Eurasian Blue Tit
Blaumeise_0_34__Belgium_song_A_third2_result,Eurasian Blue Tit
Blaumeise_0_34__Belgium_song_A_third3_result,Eurasian Blue Tit
Blaumeise_0_34__Norway_song_A_third1_result,Eurasian Blue Tit
Blaumeise_0_34__Norway_song_A_third2_result,Eurasian Blue Tit
Blaumeise_0_34__Norway_song_A_third3_result,Eurasian Blue Tit
Blaumeise_0_35__Italy_song_A_half1_result,Eurasian Blue Tit
Blaumeise_0_35__Italy_song_A_half2_result,Eurasian Blue Tit
Blaumeise_0_35__Norway_song_A_quarter1_result,Eurasian Blue Tit
Blaumeise_0_35__Norway_song_A_quarter2_result,Eurasian Blue Tit
Blaumeise_0_35__Norway_song_A_quarter3_result,Eurasian Blue Tit
Blaumeise_0_35__Norway_song_A_quarter4_result,Eurasian Blue Tit
Blaumeise_0_36__Poland_song_A_half1_result,Eurasian Blue Tit
Blaumeise_0_36__Poland_song_A_half2_result,Eurasian Blue Tit
Blaumeise_0_37__Italy_song_A_quarter1_result,Eurasian Blue Tit
Blaumeise_0_37__Italy_song_A_quarter2_result,Eurasian Blue Tit
Blaumeise_0_37__Italy_song_A_quarter3_result,Eurasian Blue Tit
Blaumeise_0_37__Italy_song_A_quarter4_result,Eurasian Blue Tit
Blaumeise_0_37__Spain_song_A_half1_result,Eurasian Blue Tit
Blaumeise_0_37__Spain_song_A_half2_result,Eurasian Blue Tit
Blaumeise_0_39__France_song_A_half1_result,Eurasian Blue Tit
Blaumeise_0_39__France_song_A_half2_result,Eurasian Blue Tit
